Main_Info,Extra_Info,Description,Properties
"Land Rover Range Rover,3.0 L,2024 il,yeni","ŞəhərBakıMarkaLand RoverModelRange RoverBuraxılış ili2024Ban növüOffroader / SUV, 5 qapıRəngQaraMühərrik3.0 L / 460 a.g. / Plug-in HibridYürüş0 kmSürətlər qutusuAvtomatÖtürücüTamYeniBəliYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbRəsmi diler - Davamını oxuLand Rover Range Rover Autobiography 3.0 P460 Plug-in Hybrid maksimal təchizat !!!━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Land Rover brendinin Azərbaycandakı rəsmi distribütoru olan “Avtolüks Azərbaycan” şirkəti, avtomobillərin Eksklüziv Barter Kampaniyasına start verib.  20% ilkin ödəniş, 12%-dan başlayan illik bank faizi və 5 ilə qədər kredit.━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Mühərrik:• Silindir sayı – 6• At gücü – 460• Ötürücü – 8 pilləli avtomatik ötürücü• Sürətlənmə (0-100 km/saat) – 5.7 saniyə• Fırlanma anı – 660NM• Tam şarj ilə - 113km məsafə qət edir• Batareyanın həcmi – 38.2 kWh━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Parametrlər:• Uzunluq – 5052 mm• Hündürlük – 1870mm• En – 2209mm• Təkər bazası – 2997mm• Baqaj həcmi – 818litr• Yanacaq çəni tutumu – 90 litr━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━İnteryer:• Ön və arxa oturacaqların isidilməsi və soyudulması. Ön oturacaqlar masaj funksiyalı• Sükan çarxının isidilməsi• ""13.1"" Əl toxunuşlu monitor• ""11.4"" Əl toxunuşlu monitor arxa sərnişinlər üçün• Elektrik ilə tənzimlənən arxa konsul• Dəri tavan• Dörd zonalı klimat kontrol• Bluetooth, telefon və səslə idarə• Ön mərkəzi konsolda soyuducu bölməsi• Head-up Display• Simsiz şarj━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Eksteryer:• Rəngi - Qara• Şüşələrin elektriklə idarə olunması (Exterior)• Yüngül lehimli disklər ""R22"", Qara parlaq• Adaptiv ön faralar• Led arxa fənərlər• Yan güzgülərin isidilməsi və tənzimlənməsi━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Təhlükəsizlik:• Kurs Stabillik Sistemi (ESC) / ABS• Adaptiv Kruiz-kontrol (Safety)• Pərdə tipli hava yastıqları• Sürücü və ön sərnişin hava yastığı• Immobilayzer / oğurlanma əleyhinə sistem• Açarsız daxil olma• Ön və Arxa radar• 360 dərəcə kamera• Yoxuşda hərəkətə yardım sistemi (Hill Start Assist)━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Avtomobilə 5 il və ya 150.000 km zəmanət təqdim edilir #17354151Batareyaya 6 il və ya 100.000 km zəmanət təqdim edilir.Ətraflı məlumat üçün sizi rəsmi satış mərkəzimizə dəvət edirik.Bakı şəhəri, Zaur Nudirəliyev 8 - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9051723","Land Rover Range Rover Autobiography 3.0 P460 Plug-in Hybrid maksimal təchizat !!!━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Land Rover brendinin Azərbaycandakı rəsmi distribütoru olan “Avtolüks Azərbaycan” şirkəti, avtomobillərin Eksklüziv Barter Kampaniyasına start verib.  20% ilkin ödəniş, 12%-dan başlayan illik bank faizi və 5 ilə qədər kredit.━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Mühərrik:• Silindir sayı – 6• At gücü – 460• Ötürücü – 8 pilləli avtomatik ötürücü• Sürətlənmə (0-100 km/saat) – 5.7 saniyə• Fırlanma anı – 660NM• Tam şarj ilə - 113km məsafə qət edir• Batareyanın həcmi – 38.2 kWh━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Parametrlər:• Uzunluq – 5052 mm• Hündürlük – 1870mm• En – 2209mm• Təkər bazası – 2997mm• Baqaj həcmi – 818litr• Yanacaq çəni tutumu – 90 litr━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━İnteryer:• Ön və arxa oturacaqların isidilməsi və soyudulması. Ön oturacaqlar masaj funksiyalı• Sükan çarxının isidilməsi• ""13.1"" Əl toxunuşlu monitor• ""11.4"" Əl toxunuşlu monitor arxa sərnişinlər üçün• Elektrik ilə tənzimlənən arxa konsul• Dəri tavan• Dörd zonalı klimat kontrol• Bluetooth, telefon və səslə idarə• Ön mərkəzi konsolda soyuducu bölməsi• Head-up Display• Simsiz şarj━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Eksteryer:• Rəngi - Qara• Şüşələrin elektriklə idarə olunması (Exterior)• Yüngül lehimli disklər ""R22"", Qara parlaq• Adaptiv ön faralar• Led arxa fənərlər• Yan güzgülərin isidilməsi və tənzimlənməsi━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Təhlükəsizlik:• Kurs Stabillik Sistemi (ESC) / ABS• Adaptiv Kruiz-kontrol (Safety)• Pərdə tipli hava yastıqları• Sürücü və ön sərnişin hava yastığı• Immobilayzer / oğurlanma əleyhinə sistem• Açarsız daxil olma• Ön və Arxa radar• 360 dərəcə kamera• Yoxuşda hərəkətə yardım sistemi (Hill Start Assist)━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━Avtomobilə 5 il və ya 150.000 km zəmanət təqdim edilir #17354151Batareyaya 6 il və ya 100.000 km zəmanət təqdim edilir.Ətraflı məlumat üçün sizi rəsmi satış mərkəzimizə dəvət edirik.Bakı şəhəri, Zaur Nudirəliyev 8",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,241 300 USD
"Lexus GX 460,4.6 L,2014 il,161 000 km","ŞəhərBakıMarkaLexusModelGX 460Buraxılış ili2014Ban növüOffroader / SUV, 5 qapıRəngAğMühərrik4.6 L / 296 a.g. / BenzinYürüş161 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı7Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbYaponiya - Davamını oxuƏla vəziyyətdədi 1 manat belə xərci yoxdur - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9405336",Əla vəziyyətdədi 1 manat belə xərci yoxdur,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,36 300 USD
"Toyota Camry,2.5 L,2024 il,yeni","ŞəhərBakıMarkaToyotaModelCamryBuraxılış ili2024Ban növüSedanRəngQızılıMühərrik2.5 L / 225 a.g. / HibridYürüş0 kmSürətlər qutusuVariatorÖtürücüTamYeniBəliYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Davamını oxu-Yeni Camry 2024 modeli !!! Full salon (Elegance+)--Qeyd: Avtomobil stokda olmadigi hallda siz sifariş edib 2-3 ay müddətinə əldə edə bilərsiniz.--60 aya dek Kreditlə əldə edə bilərsiniz!--Fiiziki və hüquqi şəxslər üçün manatla kredit və lizinq mümkündür!-RƏSMİ ZƏMANƏT - 160.000 KM. VƏ YA 10 İLÖlçüləri Premium HEVSFX CGUzunluq x En x Hündürlük mm - 4920/1840/1455Təkər bazası - 2825Klirens mm - 145Yanacaq sərfi. L-100 km (qarışıq) - 4.4Oturacaqların sayı - 5Mühərrik - 2487 ccSilindrlərin sayı - 4Maksimal güc a/g - 230Maksimal surət km/s - 180Sürətlənmə 0–100 km/h san - 7.2sYanacaq çəninin həcmi L - 50LTransmissiya - CVTTəhlükəsizlikABS + with ebd & ba •VSC •parking support alt/brake •parking brake •Blind spot monitor(BSM) •LKA - Lane keep assist lta+edsstss 3 /lss +3 •Ön sürücü və sərnişin, yan və pərdə tipli təh. yastıqlarıUsaqlar üçün qoruyucu kəmərlər •İnteryerSükanda audio və telefon idarəetmə sistemi •Dəri sükan çarxı •Qızdırılan sükan çarxı •Mailliyə və çıxışa görə tənzimlənən sükan powerintegrated sport driving 3mode eco-nml-sportArxa oturacaqların 60/40 qatlanması powerSürücü və sərnişin oturacağın tənzimlənməsi d:8 power , p:8 powerQızdırılan sürücü və ön sərnişin oturacaqları •Qızdırılan arxa oturacaqlar •Sürücü oturacağının yaddaş paketi •Dəri oturacaqlar •oturacaq kondisioneri •d,pAçarsız daxilolma və bir toxunuşla işəsalma •starting system pushYağış və işıq sensorları •rear & rear side monitor •back monitor •pvm2 zonalı avtomatik kondinsioner -3 zonalı avtomatik kondinsioner •Multi məlumat displeyi ( 7 tft ) -Multi məlumat displey i(full tft ) •Displey 12,3""dyum • 9sp JBLWireless charger •head up display •hudusb •front:2, rear1:2Adaptiv Kruiz Kontrol •Təkərin təzyiqinə nəzarət sistemi •EksteryerTəkər-disk ölçüləri 235/45r18Kuzov rəngi monotoneKuzov rəngində avtomatik tənzimlənən, qatlanan, qızdırılan yan güzgülər •memoryYan güzgülərdə dönmə işıqları LED •LED ön faralar (yaxın işıqlar) + fara təmizləyənlər •daytime running light system •ön şüşə buzdan təmizləyici •LED Gündüz işıqları •LED Ön duman əleyhinə faralar •Arxa görüntülü kamera •-Daha ətraflı məlumat almaq üçün bizimlə əlaqə saxlayın! - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9259247","-Yeni Camry 2024 modeli !!! Full salon (Elegance+)--Qeyd: Avtomobil stokda olmadigi hallda siz sifariş edib 2-3 ay müddətinə əldə edə bilərsiniz.--60 aya dek Kreditlə əldə edə bilərsiniz!--Fiiziki və hüquqi şəxslər üçün manatla kredit və lizinq mümkündür!-RƏSMİ ZƏMANƏT - 160.000 KM. VƏ YA 10 İLÖlçüləri Premium HEVSFX CGUzunluq x En x Hündürlük mm - 4920/1840/1455Təkər bazası - 2825Klirens mm - 145Yanacaq sərfi. L-100 km (qarışıq) - 4.4Oturacaqların sayı - 5Mühərrik - 2487 ccSilindrlərin sayı - 4Maksimal güc a/g - 230Maksimal surət km/s - 180Sürətlənmə 0–100 km/h san - 7.2sYanacaq çəninin həcmi L - 50LTransmissiya - CVTTəhlükəsizlikABS + with ebd & ba •VSC •parking support alt/brake •parking brake •Blind spot monitor(BSM) •LKA - Lane keep assist lta+edsstss 3 /lss +3 •Ön sürücü və sərnişin, yan və pərdə tipli təh. yastıqlarıUsaqlar üçün qoruyucu kəmərlər •İnteryerSükanda audio və telefon idarəetmə sistemi •Dəri sükan çarxı •Qızdırılan sükan çarxı •Mailliyə və çıxışa görə tənzimlənən sükan powerintegrated sport driving 3mode eco-nml-sportArxa oturacaqların 60/40 qatlanması powerSürücü və sərnişin oturacağın tənzimlənməsi d:8 power , p:8 powerQızdırılan sürücü və ön sərnişin oturacaqları •Qızdırılan arxa oturacaqlar •Sürücü oturacağının yaddaş paketi •Dəri oturacaqlar •oturacaq kondisioneri •d,pAçarsız daxilolma və bir toxunuşla işəsalma •starting system pushYağış və işıq sensorları •rear & rear side monitor •back monitor •pvm2 zonalı avtomatik kondinsioner -3 zonalı avtomatik kondinsioner •Multi məlumat displeyi ( 7 tft ) -Multi məlumat displey i(full tft ) •Displey 12,3""dyum • 9sp JBLWireless charger •head up display •hudusb •front:2, rear1:2Adaptiv Kruiz Kontrol •Təkərin təzyiqinə nəzarət sistemi •EksteryerTəkər-disk ölçüləri 235/45r18Kuzov rəngi monotoneKuzov rəngində avtomatik tənzimlənən, qatlanan, qızdırılan yan güzgülər •memoryYan güzgülərdə dönmə işıqları LED •LED ön faralar (yaxın işıqlar) + fara təmizləyənlər •daytime running light system •ön şüşə buzdan təmizləyici •LED Gündüz işıqları •LED Ön duman əleyhinə faralar •Arxa görüntülü kamera •-Daha ətraflı məlumat almaq üçün bizimlə əlaqə saxlayın!",Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,44 900 USD
"Ford Transit,2.4 L,2008 il,326 527 km","ŞəhərBakıMarkaFordModelTransitBuraxılış ili2008Ban növüFurqonRəngBozMühərrik2.4 L / 140 a.g. / DizelYürüş326 527 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrSahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Davamını oxuSalam aleykum.Yürüş originaldır.Motor,korobka,most idealdır.Turbodur.Kondisioner və peç işləkdir.Ön patpress qızdırıcısı,arxa patpres qızdırıcısı sipralı var.Arxa most blokirovka var.Padyomda arxaya getməmək üçün (dala axmamaq üçün)funkisyası var.Multi rul mövcuddur.Yan güzgülər idarəedicisi var.Şüşəqaldıranlar var.Hazırda üzərində 4 conitental təkərləri var,ehtiyyat təkəri var.Maşına bütün funksiyaları işləkdir.Mator nömrəsi texpasportda qeyd olunub.Sənədləri qaydasındadır. - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaKondisionerDəri salonKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9282422","Salam aleykum.Yürüş originaldır.Motor,korobka,most idealdır.Turbodur.Kondisioner və peç işləkdir.Ön patpress qızdırıcısı,arxa patpres qızdırıcısı sipralı var.Arxa most blokirovka var.Padyomda arxaya getməmək üçün (dala axmamaq üçün)funkisyası var.Multi rul mövcuddur.Yan güzgülər idarəedicisi var.Şüşəqaldıranlar var.Hazırda üzərində 4 conitental təkərləri var,ehtiyyat təkəri var.Maşına bütün funksiyaları işləkdir.Mator nömrəsi texpasportda qeyd olunub.Sənədləri qaydasındadır.",Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaKondisionerDəri salonKsenon lampalarArxa görüntü kamerası,25 300 AZN
"Mazda CX-5,2.0 L,2014 il,230 000 km","ŞəhərBakıMarkaMazdaModelCX-5Buraxılış ili2014Ban növüOffroader / SUV, 5 qapıRəngAğMühərrik2.0 L / 150 a.g. / BenzinYürüş230 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı5Sahiblər0VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbRəsmi diler - Davamını oxuSERViS! Ideal vəziyyətdə, 2 matorun Tam otürucu Full versiyası hec bir problemi yoxdu səligəli istifadə olunub - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9352254","SERViS! Ideal vəziyyətdə, 2 matorun Tam otürucu Full versiyası hec bir problemi yoxdu səligəli istifadə olunub",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,24 900 AZN
"Land Rover RR Evoque,2.0 L,2020 il,58 000 km","ŞəhərBakıMarkaLand RoverModelRR EvoqueBuraxılış ili2020Ban növüOffroader / SUV, 5 qapıRəngQaraMühərrik2.0 L / 240 a.g. / BenzinYürüş58 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuReal Alıcını Jekpot endirim gözləyir !!!R-Dynamic-Maşın Tam Full verisyadır. Digər maşınlar ilə səhv salmayın.Çox İdeal vəziyyətdədir.Alan adam istənilən servisdə yoxlatdıra bilər.Kredit mümmkündür.24 Ay --- 124536 Ay --- 920Ətraflı məlumat üçün zəng edin. - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 8971442",Real Alıcını Jekpot endirim gözləyir !!!R-Dynamic-Maşın Tam Full verisyadır. Digər maşınlar ilə səhv salmayın.Çox İdeal vəziyyətdədir.Alan adam istənilən servisdə yoxlatdıra bilər.Kredit mümmkündür.24 Ay --- 124536 Ay --- 920Ətraflı məlumat üçün zəng edin.,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,37 600 USD
"ROX (Polar Stone) 01,1.5 L,2025 il,yeni","ŞəhərBakıMarkaROX (Polar Stone)Model01Buraxılış ili2025Ban növüOffroader / SUV, 5 qapıRəngGümüşüMühərrik1.5 L / 476 a.g. / Plug-in HibridYürüş0 kmSürətlər qutusuReduktorÖtürücüÖnYeniBəliSahiblər0VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbÇin - Davamını oxuDiqqət! Böyük fürsət – Bütün Çin avtomobillərinə xüsusi kampaniya!FLY CAR olaraq sizə həm Bakıda hazırda satışda olan Çin avtomobilləri, həm də sifarişlə gətirilən modellər üzrə inanılmaz təklif edirik!Artıq arzuladığınız Çin avtomobilinə sahib olmaq çox asandır:Sadəcə 30% ilkin ödənişlə istənilən Çin avtomobilini sifariş edin, qalan 70%-i isə avtomobil tam sizə təhvil verildikdən sonra rahat şəkildə ödəyin!Bu nə deməkdir?•	Heç bir risk yoxdur!•	Tam rəsmi sənədləşmə və alqı-satqı müqaviləsi ilə avtomobil sizə təqdim olunur.•	İstədiyiniz marka, istədiyiniz model – tam zəmanətlə!•	Əlavə gözləməyə ehtiyac yoxdur: Bakıda hazırda olan avtomobilləri də birbaşa əldə edə bilərsiniz!Bu fürsət hər kəs üçündür! Öz avtomobilinə sahib olmaq istəyən hər kəs artıq bunu asan, təhlükəsiz və sərfəli şəkildə edə bilər.Tələsin! Bu fürsət uzun sürməyəcək. İlk addımı atın, siz də arzuladığınız Çin avtomobilini bu gün sifariş edin və ya hazır modellərdən birini dərhal alın!FLY CAR – Etibarın ünvanı. - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9451556","Diqqət! Böyük fürsət – Bütün Çin avtomobillərinə xüsusi kampaniya!FLY CAR olaraq sizə həm Bakıda hazırda satışda olan Çin avtomobilləri, həm də sifarişlə gətirilən modellər üzrə inanılmaz təklif edirik!Artıq arzuladığınız Çin avtomobilinə sahib olmaq çox asandır:Sadəcə 30% ilkin ödənişlə istənilən Çin avtomobilini sifariş edin, qalan 70%-i isə avtomobil tam sizə təhvil verildikdən sonra rahat şəkildə ödəyin!Bu nə deməkdir?•	Heç bir risk yoxdur!•	Tam rəsmi sənədləşmə və alqı-satqı müqaviləsi ilə avtomobil sizə təqdim olunur.•	İstədiyiniz marka, istədiyiniz model – tam zəmanətlə!•	Əlavə gözləməyə ehtiyac yoxdur: Bakıda hazırda olan avtomobilləri də birbaşa əldə edə bilərsiniz!Bu fürsət hər kəs üçündür! Öz avtomobilinə sahib olmaq istəyən hər kəs artıq bunu asan, təhlükəsiz və sərfəli şəkildə edə bilər.Tələsin! Bu fürsət uzun sürməyəcək. İlk addımı atın, siz də arzuladığınız Çin avtomobilini bu gün sifariş edin və ya hazır modellərdən birini dərhal alın!FLY CAR – Etibarın ünvanı.",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,39 000 USD
"Honda Insight,1.3 L,2009 il,212 000 km","ŞəhərBakıMarkaHondaModelInsightBuraxılış ili2009Ban növüLiftbekRəngBozMühərrik1.3 L / 88 a.g. / HibridYürüş212 000 kmSürətlər qutusuVariatorÖtürücüÖnYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuTeciliIlkin odeniş 2500m hazir kreditdedi.Tam saz veziyyetdedir. - Düzəliş etElanı silElanın nömrəsi: 9412109",TeciliIlkin odeniş 2500m hazir kreditdedi.Tam saz veziyyetdedir.,,9 900 AZN
"Chevrolet Cruze,1.4 L,2012 il,280 000 km","ŞəhərBalakənMarkaChevroletModelCruzeBuraxılış ili2012Ban növüSedanRəngAğMühərrik1.4 L / 140 a.g. / BenzinYürüş280 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxuSalam masin ideal veziyyetdedir mator karopka xadavoy kuza  ideal veziyyetdedir tekerler teze kimi   les kruzlarla muqayise etmeyin masin idealdi oz adimizdadir  real aliciya cuzi endirim olacax - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaKondisionerDəri salon - Düzəliş etElanı silElanın nömrəsi: 9486720",Salam masin ideal veziyyetdedir mator karopka xadavoy kuza  ideal veziyyetdedir tekerler teze kimi   les kruzlarla muqayise etmeyin masin idealdi oz adimizdadir  real aliciya cuzi endirim olacax,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaKondisionerDəri salon,13 300 AZN
"Kia Forte,2.0 L,2019 il,134 000 km","ŞəhərBakıMarkaKiaModelForteBuraxılış ili2019Ban növüSedanRəngQaraMühərrik2.0 L / 150 a.g. / BenzinYürüş134 000 kmSürətlər qutusuVariatorÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxu3 ildir ozum idare edirem Mator karopka ideal veziyyetdedir umumi mashin rasxod teleb etmir pul lazimdir deye deyerinden ucuz satilir probeg km ileQIYMET YALNIZ MASININ YANINDA DANISILIR! - Yüngül lehimli disklərABSMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9407433",3 ildir ozum idare edirem Mator karopka ideal veziyyetdedir umumi mashin rasxod teleb etmir pul lazimdir deye deyerinden ucuz satilir probeg km ileQIYMET YALNIZ MASININ YANINDA DANISILIR!,Yüngül lehimli disklərABSMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerası,21 700 AZN
